auction_brand,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,year
,,Coccinelle 1303 L cabriolet Karmann,RM Sotheby's,,,,,
,,Coccinelle 1303 LS cabriolet,Artcurial Motorcars,,,,,
,,"Coccinelle 1303 cabriolet, int. cuir et bois",Artcurial Motorcars,,,,,
,,Coccinelle 1303 cabriolet USA injection,SVV Le Calvez & Associés,,,,,
,,Coccinelle 1303 (LS) Cabriolet 1600,Auctionata,,,,,
,,Coccinelle 1303 LS cabriolet,Jean-Pierre Osenat,,,,,
,,New Beetle Speedster RHD conv. APS 1.8 T,Bonhams,,,,,
,,,,,,,,
,,Coccinelle 1600 inj. cabriolet Karmann,Marie Line Balsan / Dominique Pagneux,,,,,
,,Coccinelle 1500 cabriolet Karmann automatique,Aguttes,,,,,
,,Coccinelle 1500 cabriolet Karmann,Alcopa Auction,,,,,
,,Coccinelle 1500 cabriolet autom. USA,Alcopa Auction Rennes,,,,,
,,Coccinelle 1500 cabriolet ex-USA,Alcopa Auction Nancy,,,,,
,,"Coccinelle 1500 cabriolet ex-USA, jantes larges",Alcopa Auction,,,,,
,,Coccinelle cabriolet Karmann,Pierre Bergé & Associés,,,,,
,,Coccinelle 1600 cabriolet Karmann,SVV Australe,,,,,
,,,,,,,,
,,Coccinelle 1600 inj. cabriolet Karmann,Marie Line Balsan / Dominique Pagneux,,,,,
,,Coccinelle 1500 cabriolet Karmann automatique,Aguttes,,,,,
,,Coccinelle 1500 cabriolet Karmann,Alcopa Auction,,,,,
,,Coccinelle 1500 cabriolet autom. USA,Alcopa Auction Rennes,,,,,
,,Coccinelle 1500 cabriolet ex-USA,Alcopa Auction Nancy,,,,,
,,"Coccinelle 1500 cabriolet ex-USA, jantes larges",Alcopa Auction,,,,,
,,Coccinelle cabriolet Karmann,Pierre Bergé & Associés,,,,,
,,Coccinelle 1600 cabriolet Karmann,SVV Australe,,,,,
,,,,,,,,
,,Coccinelle 1200 cabriolet Karmann,Bonhams,,,,,
,,Coccinelle (1200) cabriolet,RM Auctions,,,,,
,,Coccinelle 1200 cabriolet,"SCP Dubée, Berron, Sentucq",,,,,
,,,,,,,,
,,Coccinelle cabriolet Karmann,RM Sotheby's,,,,,
,,Coccinelle 1303 cabriolet Karmann,Oldtimer Galerie Toffen,,,,,
,,Coccinelle cabriolet Karmann,Gooding & Company,,,,,
,,Coccinelle cabriolet export USA,Christie's,,,,,
,,Coccinelle cabriolet Karmann (LHD),Coys,,,,,
,,,,,,,,
,,Coccinelle cabriolet Karmann,RM Sotheby's,,,,,
,,Coccinelle cabriolet Karmann,Marie Line Balsan / Dominique Pagneux,,,,,
,,Coccinelle 1200 cabriolet Karmann,Marie Line Balsan / Dominique Pagneux,,,,,
,,1500 cabriolet Karmann,RM Sotheby's,,,,,
,,Typ 15 cabriolet Karmann,RM Sotheby,,,,,
,,Coccinelle cabriolet 1600 automatique Karmann,Bonhams,,,,,
,,Coccinelle cabriolet Karmann,Bonhams,,,,,
,,Coccinelle cabriolet Karmann LHD,Bonhams,,,,,
,,Coccinelle cabriolet Karmann automatique,Artcurial Motorcars,,,,,
,,"Coccinelle 1303 LS Cabriolet ""Champion""",Artcurial Motorcars,,,,,
,,,,,,,,
,,Karmann-Ghia 1600 cabriolet (type14),Alcopa Auction,,,,,
,,Karmann-Ghia 1600 cabriolet (type14),Leclère MDV,,,,,
,,Karmann-Ghia 1600 Type 14 cabriolet,Claude Aguttes SAS,,,,,
,,"Karmann-Ghia 1600 cabriolet (type14), conv. RHD",Bonhams,,,,,
,,Karmann-Ghia 1600 cabriolet T 14 LHD,Coys Auctions,,,,,
,,,,,,,,
,,"Karmann-Ghia 1600 cabriolet autom., jantes sport",Alcopa Auction Rennes,,,,,
,,Karmann-Ghia 1500 cabriolet ex-USA,Claude Aguttes,,,,,
,,Karmann-Ghia 1500 (T 14) cabriolet ex-USA,Claude Aguttes,,,,,
,,,,,,,,
,,,,,,,1600 L Variant break,1966
,,,,,,,1600 L / LE Variant break,1970
,,,,,,,Typ 2 fourgon / Combi,1950
,,,,,,,Typ 2 fourgon,1955
,,,,,,,Typ 22 Bus 8/9 places (standard),1955
,,,,,,,Typ 23 Combi,1955
,,,,,,,Typ 23 Camping-car Westfalia,1960
,,,,,,,Typ 24 Bus De Luxe (23 fenêtres),1955
,,,,,,,Typ 24 Bus de Luxe (21 fenêtres),1964
,,,,,,,Typ 26 Pick-up,1955
,,,,,,,Typ 28 Bus 7 places,1955
,,,,,,,Typ 2 fourgon tôlé (bay-window),1968
,,,,,,,Typ 2 Combi,1968
,,,,,,,Typ 2 Bus L (Clipper),1968
,,,,,,,Typ 2 Camping,1968
,,,,,,,Transporter Syncro 2 litres 4 x 4,1985
,,,,,,,,
,,Karmann-Ghia 1600 (T 14) coupé,Silverstone Auctions,,,,,
,,,,,,,,
,,1600 TLE coupé RHD,Jean-Pierre Osenat,,,,,
,,,,,,,,
,,"1600 TL coupé ""fastback""",Chevau-Légers Enchères,,,,,
,,,,,,,,
,,"1600 TL coupé ""fastback""",Chevau-Légers Enchères,,,,,
,,,,,,,,
,,Typ 2 fourgon / Combi camping par Canterbury Pitt RHD,H and H,,,,,
,,Typ 2 Combi ,Historics at Brooklands,,,,,
,,Typ 2 fourgon surélevé (sans CG),Demade Enchères,,,,,
,,Type 21 fourgon tôlé LHD neuf (33 km d'origine),Coys Auctions,,,,,
,,Type 211 Microbus,Christie's USA,,,,,
,,,,,,,,
,,1600 L Variant break,Jean-Pierre Osenat,,,,,
,,1600 Variant break,Jean-Pierre Osenat,,,,,
,,Type 3 Variant moteur Porsche 993,Coys Europe,,,,,
,,,,,,,,
,,,,,,,411 / 411 E 2 portes,1969
,,,,,,,411 L / 411 LE 2 portes,1969
,,,,,,,411 L / 411 LE 4 portes,1969
,,,,,,,411 Variant break,1970
,,,,,,,412 LE / 412 LS 2 portes,1973
,,,,,,,412 LE / 412 LS 4 portes,1973
,,,,,,,412 Variant break,1973
,,,,,,,SP-2 coupé (VW do Brasil),1972
,,,,,,,Typ 147 fourgon postal (Fridolin),1965
,,,,,,,181 torpédo,1970
,,,,,,,183 Iltis 4 x 4 torpédo,1978
,,,,,,,"K 70 / K 70 L berline 1,6 l",1970
,,,,,,,"K 70 LS berline 1,8 l",1973
,,,,,,,Passat TS 2 / 3 / 4 portes (85 ch),1974
,,,,,,,Golf I 3 ou 5 portes (1.1 / 1.3 / 1.5 / 1.6),1975
,,,,,,,Golf GTi 1600 (4 vitesses),1976
,,,,,,,,
,,Typ 24 Bus De Luxe (23 fenêtres),Bonhams,,,,,
,,Typ 24 Bus De Luxe (23 fenêtres),Bonhams,,,,,
,,Typ 24 Bus De Luxe,RM Sotheby's,,,,,
,,Typ 24 Bus De Luxe,RM Sotheby's,,,,,
,,Typ 24 Bus De Luxe,Gooding & Co,,,,,
,,Typ 24 Bus De Luxe (23 fenêtres),RM Sotheby,,,,,
