auction_brand,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
VOLKSWAGEN,Fort Lauderdale,Coccinelle 1303 injection cabriolet Karmann,RM Sotheby,10 770 €,OR+,V,,6944,
VOLKSWAGEN,Beaulieu,1303 LS cabriolet RHD,Bonhams,26 930 €,OR+,V,,6944,
VOLKSWAGEN,La Mézière,1303 cabriolet Karmann,Alcopa,8 150 €,OR,V,,6944,
VOLKSWAGEN,Fort Lauderdale,1303 LS cabriolet Karmann,RM Sotheby's,17 960 €,REST,V,,6944,
VOLKSWAGEN,Fort Lauderdale,1303 LS cabriolet Karmann,RM Sotheby's,31 430 €,REST,V,,6944,
VOLKSWAGEN,Fort Lauderdale,1303 LS cabriolet Karmann,RM Sotheby's,17 060 €,REST,V,,6944,
VOLKSWAGEN,Auvers sur Oise,Coccinelle 1303 LS cabriolet injection ex USA,William Le Calvez,13 570 €,OR,V,,6944,
VOLKSWAGEN,La Mézière,Coccinelle 1303 LS Automatic cabriolet,Alcopa Auction Rennes,14 720 €,OR+,V,,6944,
VOLKSWAGEN,Milan,Coccinelle 1303 L cabriolet Karmann,RM Sotheby's,21 280 €,OR,V,,6944,
VOLKSWAGEN,Milan,Coccinelle 1303 L cabriolet Karmann,RM Sotheby's,12 880 €,OR,V,,6944,
VOLKSWAGEN,Le Mans,Coccinelle 1303 LS cabriolet,Artcurial Motorcars,19 070 €,OR+,V,,6944,
VOLKSWAGEN,Paris,"Coccinelle 1303 cabriolet, int. cuir et bois",Artcurial Motorcars,19 072 €,OR+,V,,6944,
VOLKSWAGEN,Auvers sur Oise,Coccinelle 1303 cabriolet USA injection,SVV Le Calvez & Associés,21 456 €,REST+,V,,6944,
VOLKSWAGEN,Berlin,Coccinelle 1303 (LS) Cabriolet 1600,Auctionata,17 330 €,REST,V,,6944,
VOLKSWAGEN,Fontainebleau,Coccinelle 1303 LS cabriolet,Jean-Pierre Osenat,14 304 €,REST,V,,6944,
VOLKSWAGEN,Oxford,New Beetle Speedster RHD conv. APS 1.8 T,Bonhams,7 861 €,TR/EX,V,,6944,
,,,,,,,,6943,
VOLKSWAGEN,Tupelo,1302 LS Cabriolet,Bonhams,20 970 €,OR+,V,,6943,
VOLKSWAGEN,Paris,"1302 LS Cabriolet, ex-Sylvie Vartan",Artcurial Motorcars,29 800 €,OR+,V,,6943,
VOLKSWAGEN,Marsac sur l'Isle,Coccinelle 1303 LS cabriolet,Périgord Enchères (Bertrand Miallon),17 700 €,REST,V,,6943,
VOLKSWAGEN,Lyon-Chassieu,Coccinelle 1302 L cabriolet,Jean-Pierre Osenat,16 800 €,OR,V,,6943,
VOLKSWAGEN,Lyon (Epoqu'auto),Coccinelle 1302 L cabriolet,Jean-Pierre Osenat,13 800 €,OR,V,,6943,
VOLKSWAGEN,Paris,Coccinelle 1302 LS cabriolet,Artcurial Motorcars,8 000 €,OR+,V,,6943,
VOLKSWAGEN,Toffen,Coccinelle 1302 LS cabriolet,Oldtimer Galerie Toffen,16 000 €,OR+,V,,6943,
VOLKSWAGEN,Salzbourg,Coccinelle 1302 LS cabriolet,Dorotheum,7 000 €,REST,V,,6943,
VOLKSWAGEN,Le Mans,Coccinelle 1302 LS cabriolet,"Artcurial Briest, Le Fur, Poulai",8 000 €,REST,V,,6943,
VOLKSWAGEN,Buxton,Coccinelle 1500 cabriolet RHD,H & H Classic Auctions,7 050 €,REST,V,,6943,
,,,,,,,,6942,
VOLKSWAGEN,Caen,Coccinelle 1600 inj. cabriolet Karmann,Marie Line Balsan / Dominique Pagneux,13 280 €,OR+,V,,6942,
VOLKSWAGEN,Montlhéry,Coccinelle 1500 cabriolet Karmann automatique,Aguttes,26 310 €,REST,V,,6942,
VOLKSWAGEN,La Mézière,Coccinelle 1500 cabriolet Karmann,Alcopa Auction,14 820 €,REST,V,,6942,
VOLKSWAGEN,La Mézière,Coccinelle 1500 cabriolet autom. USA,Alcopa Auction Rennes,15 270 €,OR+,V,,6942,
VOLKSWAGEN,Fléville devant Nancy,Coccinelle 1500 cabriolet ex-USA,Alcopa Auction Nancy,14 820 €,REST-,V,,6942,
VOLKSWAGEN,La Mézière,"Coccinelle 1500 cabriolet ex-USA, jantes larges",Alcopa Auction,8 037 €,REST-,V,,6942,
VOLKSWAGEN,Bruxelles,Coccinelle cabriolet Karmann,Pierre Bergé & Associés,12 500 €,REST,V,,6942,
VOLKSWAGEN,Sainte-Geneviève,Coccinelle 1600 cabriolet Karmann,SVV Australe,6 800 €,REST-,V,,6942,
,,,,,,,,6941,
VOLKSWAGEN,Knokke-le-Zoute,Coccinelle 1200 cabriolet Karmann,Bonhams,27 600 €,OR,V,,6941,
VOLKSWAGEN,Nysted,Coccinelle (1200) cabriolet,RM Auctions,18 010 €,OR+,V,,6941,
VOLKSWAGEN,Romorantin,Coccinelle 1200 cabriolet,"SCP Dubée, Berron, Sentucq",9 000 €,REST/TR,V,,6941,
,,,,,,,,6940,
VOLKSWAGEN,Milan,Coccinelle cabriolet Karmann,RM Sotheby's,44 800 €,OR,V,,6940,
VOLKSWAGEN,Toffen,Coccinelle 1303 cabriolet Karmann,Oldtimer Galerie Toffen,18 748 €,REST,V,,6940,
VOLKSWAGEN,AmeliA IslAnd,Coccinelle cabriolet Karmann,Gooding & Company,23 400 €,REST+,V,,6940,
VOLKSWAGEN,Monterey,Coccinelle cabriolet export USA,Christie's,36 000 €,REST+,V,,6940,
VOLKSWAGEN,Woodstock,Coccinelle cabriolet Karmann (LHD),Coys,14 250 €,REST+,V,,6940,
,,,,,,,,6939,
VOLKSWAGEN,Auburn,Coccinelle cabriolet Karmann,RM Sotheby's,28 780 €,REST,V,,6939,
VOLKSWAGEN,Le Mans,Coccinelle cabriolet Karmann,Marie Line Balsan / Dominique Pagneux,20 770 €,REST,V,,6939,
VOLKSWAGEN,Le Mans,Coccinelle 1200 cabriolet Karmann,Marie Line Balsan / Dominique Pagneux,6 960 €,OR-,V,,6939,
VOLKSWAGEN,Fort Lauderdale,1500 cabriolet Karmann,RM Sotheby's,8 440 €,REST,V,,6939,
VOLKSWAGEN,Amelia Island,Typ 15 cabriolet Karmann,RM Sotheby,59 240 €,REST,V,,6939,
VOLKSWAGEN,Philadelphie,Coccinelle cabriolet 1600 automatique Karmann,Bonhams,9 360 €,OR+,V,,6939,
VOLKSWAGEN,Scottsdale,Coccinelle cabriolet Karmann,Bonhams,32 850 €,REST,V,,6939,
VOLKSWAGEN,Beaulieu,Coccinelle cabriolet Karmann LHD,Bonhams,1 430 €,SEP,V,,6939,
VOLKSWAGEN,Monaco,Coccinelle cabriolet Karmann automatique,Artcurial Motorcars,22 260 €,REST,V,,6939,
VOLKSWAGEN,Monaco,"Coccinelle 1303 LS Cabriolet ""Champion""",Artcurial Motorcars,16 850 €,REST/TR,V,,6939,
,,,,,,,,8272,
VOLKSWAGEN,Tupelo,1303 S Super Beetle,Bonhams,8 490 €,OR+,V,,8272,
VOLKSWAGEN,Fontainebleau,"Coccinelle 1303 S coach, immatr. belge",Jean-Pierre Osenat,3 000 €,REST,V,,8272,
,,,,,,,,6954,
VOLKSWAGEN,Silverstone,Karmann-Ghia 1600 (T 14) coupé,Silverstone Auctions,25 319 €,REST,V,,6954,
,,,,,,,,6951,
VOLKSWAGEN,La Mézière,Karmann-Ghia 1600 cabriolet (type14),Alcopa Auction,13 160 €,REST,V,,6951,
VOLKSWAGEN,Avignon,Karmann-Ghia 1600 cabriolet (type14),Leclère MDV,29 400 €,REST,V,,6951,
VOLKSWAGEN,Lyon (Brotteaux),Karmann-Ghia 1600 Type 14 cabriolet,Claude Aguttes SAS,20 400 €,REST,V,,6951,
