quote_id,auction_brand,auction_model,auction_organizor,action_sales_code,auction_restauration_code,action_price,action_location
6944,VOLKSWAGEN,"Coccinelle 1303 cabriolet, int. cuir et bois",Artcurial Motorcars,V,OR+,19 072 €,Paris
6944,VOLKSWAGEN,Coccinelle 1303 cabriolet USA injection,SVV Le Calvez & Associés,V,REST+,21 456 €,Auvers sur Oise
6944,VOLKSWAGEN,Coccinelle 1303 (LS) Cabriolet 1600,Auctionata,V,REST,17 330 €,Berlin
6944,VOLKSWAGEN,Coccinelle 1303 LS cabriolet,Jean-Pierre Osenat,V,REST,14 304 €,Fontainebleau
6944,VOLKSWAGEN,New Beetle Speedster RHD conv. APS 1.8 T,Bonhams,V,TR/EX,7 861 €,Oxford
6943,,,,,,,
6943,VOLKSWAGEN,1302 LS Cabriolet,Bonhams,V,OR+,20 970 €,Tupelo
6943,VOLKSWAGEN,"1302 LS Cabriolet, ex-Sylvie Vartan",Artcurial Motorcars,V,OR+,29 800 €,Paris
6943,VOLKSWAGEN,Coccinelle 1303 LS cabriolet,Périgord Enchères (Bertrand Miallon),V,REST,17 700 €,Marsac sur l'Isle
6943,VOLKSWAGEN,Coccinelle 1302 L cabriolet,Jean-Pierre Osenat,V,OR,16 800 €,Lyon-Chassieu
6943,VOLKSWAGEN,Coccinelle 1302 L cabriolet,Jean-Pierre Osenat,V,OR,13 800 €,Lyon (Epoqu'auto)
6943,VOLKSWAGEN,Coccinelle 1302 LS cabriolet,Artcurial Motorcars,V,OR+,8 000 €,Paris
6943,VOLKSWAGEN,Coccinelle 1302 LS cabriolet,Oldtimer Galerie Toffen,V,OR+,16 000 €,Toffen
6943,VOLKSWAGEN,Coccinelle 1302 LS cabriolet,Dorotheum,V,REST,7 000 €,Salzbourg
6943,VOLKSWAGEN,Coccinelle 1302 LS cabriolet,"Artcurial Briest, Le Fur, Poulai",V,REST,8 000 €,Le Mans
6943,VOLKSWAGEN,Coccinelle 1500 cabriolet RHD,H & H Classic Auctions,V,REST,7 050 €,Buxton
6942,,,,,,,
6942,VOLKSWAGEN,Coccinelle 1600 inj. cabriolet Karmann,Marie Line Balsan / Dominique Pagneux,V,OR+,13 280 €,Caen
6942,VOLKSWAGEN,Coccinelle 1500 cabriolet Karmann automatique,Aguttes,V,REST,26 310 €,Montlhéry
6942,VOLKSWAGEN,Coccinelle 1500 cabriolet Karmann,Alcopa Auction,V,REST,14 820 €,La Mézière
6942,VOLKSWAGEN,Coccinelle 1500 cabriolet autom. USA,Alcopa Auction Rennes,V,OR+,15 270 €,La Mézière
6942,VOLKSWAGEN,Coccinelle 1500 cabriolet ex-USA,Alcopa Auction Nancy,V,REST-,14 820 €,Fléville devant Nancy
