auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,quote_id
ALFA ROMEO,20170308,FLÉVILLE DEVANT NANCY,Sprint 1.3 coupé,Alcopa auction,5990.0,OR+,V,8534
ALFA ROMEO,20150628,AYTRÉ,Alfasud Sprint 1.3,SCP,2478.0,OR,V,8534
ALFA ROMEO,20100926,MONTASTRUC-LA-CONSEILLÈRE,Alfasud Sprint 1.3 coupé,FEE Machoïr,1200.0,OR,V,8534
ALFA ROMEO,20140208,PARIS,Alfasud 1.2 Super 4 portes,Artcurial,3576.0,OR+,V,9011
ALFA ROMEO,20120512,MONACO,33/3-23 barquette Autodelta RHD,RM Sotheby's,1232000.0,EX,V,167
ALFA ROMEO,20120512,MONACO,T 33/2 Daytona gagnante 500 km Imola 1968,RM Sotheby's,1008000.0,EX,V,167
ALFA ROMEO,20181117,TURIN,Montreal,Aste Bolaffi,73600.0,REST+,V,166
ALFA ROMEO,20181104,PARIS,Montreal,Artcurial,59600.0,REST,V,166
ALFA ROMEO,20180512,MONACO,8 C Competizione,RM Sotheby's,218500.0,OR+,V,166
ALFA ROMEO,20180325,AVIGNON,Montreal,Leclère,43200.0,REST,V,166
ALFA ROMEO,20180318,GOODWOOD,Montreal RHD,Bonhams,30200.0,REC,V,166
ALFA ROMEO,20171125,BROOKLANDS,Montreal V8 coupé,Brooklands Auctions,64630.0,REST,V,166
ALFA ROMEO,20171105,PARIS,Montreal V8 coupé,Artcurial,54830.0,OR,V,166
ALFA ROMEO,20171014,TOFFEN,Montreal V8 coupé,Oldtimer Galerie Toffen ,50510.0,OR+,V,166
ALFA ROMEO,20171006,KNOKKE-LE-ZOUTE,Montreal V8 coupé,Bonhams,74750.0,OR,V,166
ALFA ROMEO,20170702,MONACO,Montreal,Artcurial,69550.0,REST,V,166
ALFA ROMEO,20170604,GREENWICH,Montreal,Bonhams,62690.0,OR+,V,166
ALFA ROMEO,20170326,AVIGNON,"Montreal, mod. carburateurs",Leclère,52800.0,OR+,V,166
ALFA ROMEO,20170311,AMELIA ISLAND,Montreal,RM Sotheby's,68060.0,OR+,V,166
ALFA ROMEO,20170225,COVENTRY,Montreal (LHD),Silverstone Auctions,52700.0,OR+,V,166
ALFA ROMEO,20170208,PARIS,Montreal,RM Sotheby's,80080.0,REST,V,166
ALFA ROMEO,20161125,MILAN,Montreal,RM Sotheby's,67200.0,OR,V,166
ALFA ROMEO,20130712,GOODWOOD,8 C Competizione,Bonhams,103530.0,OR+,V,11940
ALFA ROMEO,20190515,LEOMINSTER,Spider (916) 2.0 Twin Spark RHD,Brightwells,4540.0,OR+,V,11939
ALFA ROMEO,20181128,BUXTON,Spider (916) 2.0 Lusso RHD,H & H Classic Auctions,3550.0,OR+,V,11939
ALFA ROMEO,20180707,BROOKLANDS,Spider 2.0 Twin Spark RHD,Brooklands Auctions,6330.0,OR+,V,11939
ALFA ROMEO,20171124,ESVRES-SUR-INDRE,Spider (916) 2.0 Twin Spark,Alcopa auction,3400.0,OR,V,11939
ALFA ROMEO,20171022,PARIS,Spider (916) 2.0 Twin Spark,Leclère,8200.0,OR,V,11939
ALFA ROMEO,20151128,TOFFEN,Spider 2.0 cabriolet,Oldtimer Galerie Toffen ,11290.0,OR+,V,11939
ALFA ROMEO,20150606,BROOKLANDS,Spider 916 2.0 Twin Spark RHD,Brooklands Auctions,4003.0,OR+,V,11939
ALFA ROMEO,20180930,LINAS,GTV Coupé 2.0 JTS,Aguttes,12000.0,OR+,V,11937
ALFA ROMEO,20161030,MONTASTRUC-LA-CONSEILLÈRE,RZ roadster Zagato,FEE Machoïr,42000.0,OR+,V,8499
ALFA ROMEO,20160514,MONACO,RZ roadster Zagato,RM Sotheby's,53760.0,OR+,V,8499
ALFA ROMEO,20150907,LONDRES,RZ roadster Zagato,RM Sotheby's,65069.0,OR+,V,8499
ALFA ROMEO,20130712,GOODWOOD,SZ coupé Zagato,Bonhams,44980.0,OR+,V,8499
ALFA ROMEO,20070521,MONACO (COYS),RZ roadster Zagato,Coys Auction ,32000.0,OR+,V,8499
ALFA ROMEO,20190521,FLORENCE,SZ berlinette Zagato (ES 30),Pandolfi Casa d'Aste,69000.0,OR+,V,8337
ALFA ROMEO,20190208,PARIS,SZ berlinette Zagato (ES 30),Artcurial,65560.0,OR+,V,8337
ALFA ROMEO,20180905,LONDRES,SZ berlinette Zagato,RM Sotheby's,31900.0,OR+,V,8337
ALFA ROMEO,20160624,GOODWOOD,SZ berlinette Zagato,Bonhams,72280.0,OR+,V,8337
ALFA ROMEO,20151210,LONDRES,SZ berlinette Zagato (LHD),Bonhams,39800.0,OR+,V,8337
ALFA ROMEO,20150907,LONDRES,SZ berlinette Zagato,RM Sotheby's,91862.0,OR+,V,8337
ALFA ROMEO,20131020,PARIS,SZ berlinette Zagato,Artcurial,45726.0,OR+,V,8337
ALFA ROMEO,20130428,MONTASTRUC-LA-CONSEILLÈRE,SZ berlinette Zagato,FEE Machoïr,30000.0,OR,V,8337
ALFA ROMEO,20121201,TOFFEN,"RZ roadster Zagato, 2 000 km d'origine",Oldtimer Galerie Toffen ,44594.0,EX,V,8337
ALFA ROMEO,20121203,WEYBRIDGE,SZ (ES 30) berlinette Zagato,Bonhams,29768.0,OR+,V,8337
ALFA ROMEO,20111026,LONDON,SZ berlinette Zagato (ES 30),RM Sotheby's,21090.0,REST,V,8337
ALFA ROMEO,20110701,GOODWOOD,SZ berlinette Zagato (ES 30),Bonhams,38280.0,OR+,V,8337
ALFA ROMEO,20100911,REIMS-GUEUX,SZ berlinette Zagato (ES 30),Bonhams,24000.0,OR+,V,8337
ALFA ROMEO,20100522,FRÉJUS,"SZ berlinette Zagato, imm. anglaise",Besch,27000.0,OR+,V,8337
ALFA ROMEO,20060402,FONTAINEBLEAU,SZ berlinette Zagato (non immatriculée),J.P. Osenat,27600.0,EX,V,8337
ALFA ROMEO,20060212,PARIS,SZ berlinette Zagato,Artcurial,18500.0,OR+,V,8337
ALFA ROMEO,20170607,FLÉVILLE DEVANT NANCY,166 2.0 Twin Spark Distinctive,Alcopa auction,670.0,OR,V,12121
ALFA ROMEO,20140208,PARIS,164 Super 3.0 24 V Q 4 berline,Artcurial,23840.0,OR+,V,11278
ALFA ROMEO,20140208,PARIS,155 Q 4 2.0 turbo berline,Artcurial,9536.0,OR+,V,11947
ALFA ROMEO,20161125,MILAN,Alfa 75 3.0 V6 berline Alfa Corse,RM Sotheby's,56000.0,OR+,V,9020
ALFA ROMEO,20060916,TOFFEN,Alfa 75 3.0 V6 America berline,Oldtimer Galerie Toffen ,2800.0,OR+,V,9020
ALFA ROMEO,20161125,MILAN,Alfa 75 1.8 Turbo Evoluzione Gr. A,RM Sotheby's,112000.0,OR,V,9022
ALFA ROMEO,20161125,MILAN,Alfa 75 Turbo Evoluzione IMSA ex-usine,RM Sotheby's,336000.0,EX,V,9022
ALFA ROMEO,20140208,PARIS,Alfa 75 1.8 Turbo Evoluzione berline,Artcurial,28608.0,OR+,V,9022
ALFA ROMEO,20180414,LYON,75 1.8 Turbo berline,Aguttes,10990.0,OR/TR,V,9021
ALFA ROMEO,20190120,TARBES,90 2.5 V6 Quadrifoglio Oro,SVV,1940.0,SEP,V,9019
ALFA ROMEO,20150524,SPA,Alfa 6 2.5 berline safety car,Bonhams,16100.0,OR,V,8336
ALFA ROMEO,20140208,PARIS,Alfa 6 2.5 berline,Artcurial,14304.0,OR+,V,8336
ALFA ROMEO,20190413,BORDEAUX,GTV 6 2.5 coupé,J.P. Osenat,14160.0,REST,V,7133
ALFA ROMEO,20181125,ROUBAIX,GTV 6 2.5 coupé,May & Associés,19450.0,OR,V,7133
ALFA ROMEO,20161125,MILAN,GTV 6 2.5 coupé,RM Sotheby's,16800.0,OR,V,7133
ALFA ROMEO,20161031,LA MÉZIÈRE,GTV 6 2.5 Production,Alcopa auction,10414.0,OR,V,7133
ALFA ROMEO,20151128,TOFFEN,GTV 6 2.5 l coupé,Oldtimer Galerie Toffen ,14370.0,OR,V,7133
ALFA ROMEO,20151017,BEAUZELLE,GTV 6 2.5 l coupé,Arnauné & Prim,11340.0,REST,V,7133
ALFA ROMEO,20150606,BROOKLANDS,GTV 6 2.5 coupé,Brooklands Auctions,11855.0,REST,V,7133
ALFA ROMEO,20131020,PARIS,GTV 6 2.5 coupé,Artcurial,15643.0,OR+,V,7133
ALFA ROMEO,20121216,CANNES,GTV 6 2.5 Production,Leclère,11910.0,OR,V,7133
ALFA ROMEO,20110522,NOYAL-SUR-VILAINE,GTV 6 2.5 coupé,Eric Sanson / M. Saint-Gal,1900.0,RET,V,7133
ALFA ROMEO,20110413,BUXTON,"GTV 6 2.5 coupé RHD, moteur HS",H & H Classic Auctions,740.0,OR-,V,7133
ALFA ROMEO,20100918,TOFFEN,GTV 6 2.5 coupé,Oldtimer Galerie Toffen ,5303.0,OR,V,7133
ALFA ROMEO,20100405,SAINT-JAMES,GTV 6 2.5 coupé,Toutain-Vente,1500.0,OR-,V,7133
ALFA ROMEO,20090604,PARIS,GTV 6 2.5 coupé,SVV,3700.0,REST,V,7133
ALFA ROMEO,20071118,CHINON,"GTV 6 2.5 coupé, sellerie cuir",SdV,6000.0,OR+,V,7133
ALFA ROMEO,20070915,TOFFEN,GTV 6 2.5 coupé,Oldtimer Galerie Toffen ,4550.0,OR+,V,7133
ALFA ROMEO,20170911,LA MÉZIÈRE,GTV 2.0 coupé,Alcopa auction,6370.0,OR,V,11518
ALFA ROMEO,20170408,JOUY SUR MORIN,GTV 2.0 coupé,HdV,11440.0,OR+,V,11518
ALFA ROMEO,20170326,AVIGNON,GTV 2.0 Delta coupé,Leclère,13000.0,REST,V,11518
ALFA ROMEO,20161110,FAYENCE,GTV 2.0 coupé,J.P. Osenat,880.0,EP,V,11518
ALFA ROMEO,20140510,MONACO,8 C Spider,RM Sotheby's,201600.0,OR+,V,11518
ALFA ROMEO,20140208,PARIS,GTV 2.0 Grand Prix coupé,Artcurial,10728.0,OR+,V,11518
ALFA ROMEO,20100703,CAEN,GTV 2.0 coupé,Brioult Enchères / M. Pagneux,700.0,OR-,V,11518
ALFA ROMEO,20090719,UZERCHE,GTV 2.0 coupé,Me Arnaud-Lacroz,4000.0,OR+,V,11518
ALFA ROMEO,20080906,RICHELIEU,GTV 2.0 coupé,SdV,2700.0,OR,V,11518
ALFA ROMEO,20061125,TOFFEN,GTV 2.0 coupé,Oldtimer Galerie Toffen ,5530.0,OR+,V,11518
ALFA ROMEO,20060916,TOFFEN,GTV 2.0 coupé,Oldtimer Galerie Toffen ,590.0,OR,V,11518
ALFA ROMEO,20190324,AVIGNON,Alfetta GTV 2000 coupé,Leclère,8400.0,OR+,V,7132
ALFA ROMEO,20181110,LYON,Alfetta GTV 2000 coupé,Aguttes,13000.0,OR,V,7132
ALFA ROMEO,20181021,PARIS,Alfetta GTV 2000 coupé,Leclère,11400.0,OR+,V,7132
ALFA ROMEO,20170818,PEBBLE BEACH,Alfetta GTV 2000 coupé,Gooding & Co,20580.0,OR+,V,7132
ALFA ROMEO,20161125,MILAN,Alfetta GTV 2000 coupé,RM Sotheby's,12320.0,OR,V,7132
ALFA ROMEO,20161125,MILAN,Alfetta GTV 2000 coupé préparé,RM Sotheby's,22400.0,REST/TR,V,7132
ALFA ROMEO,20161125,MILAN,Alfetta GTV 2000 coupé préparé,RM Sotheby's,33600.0,OR-/TR,V,7132
ALFA ROMEO,20140208,PARIS,Alfetta GTV 2000 coupé,Artcurial,30992.0,REST,V,7132
ALFA ROMEO,20131020,PARIS,Alfetta GTV 2000 coupé,Artcurial,8423.0,OR+,V,7132
ALFA ROMEO,20120915,TOFFEN,Alfetta GTV 2000 coupé,Oldtimer Galerie Toffen ,5520.0,OR,V,7132
ALFA ROMEO,20090503,TOFFEN,Alfetta GTV 2000 coupé,Oldtimer Galerie Toffen ,8600.0,OR,V,7132
ALFA ROMEO,20090919,KAUFDORF,GTV 2.0 coupé,Oldtimer Galerie Toffen ,3040.0,OR+,V,7132
ALFA ROMEO,20161125,MILAN,Alfetta GT 1.8 coupé,RM Sotheby's,7840.0,OR,V,11517
ALFA ROMEO,20170513,ECHARCON,Alfetta GT 1.6 coupé,AuctionArt (Rémy Le Fur) / M. Bonoron,310.0,EP,V,7131
ALFA ROMEO,20161030,PARIS,Alfetta 1.8 berline Polizia Stradale,Artcurial,13112.0,OR+,V,9009
ALFA ROMEO,20140208,PARIS,Alfetta 1.6 berline 2e série,Artcurial,11324.0,OR+,V,11516
ALFA ROMEO,20140208,PARIS,Alfetta 1.6 berline 3e série,Artcurial,7152.0,OR+,V,11516
ALFA ROMEO,20170501,OBENHEIM,2000 Berlina,J.P. Osenat,12840.0,OR+,V,161
ALFA ROMEO,20160619,FONTAINEBLEAU,2000 Berlina,J.P. Osenat,12000.0,OR+,V,161
ALFA ROMEO,20140208,PARIS,"2000 berline, climat.",Artcurial,11682.0,OR+,V,161
ALFA ROMEO,20140208,PARIS,2000 berline,Artcurial,13112.0,OR+,V,161
ALFA ROMEO,20101117,HARROGATE,"2000 A berline RHD autom., 3 000 miles orig.",Bonhams,3540.0,EX,V,161
ALFA ROMEO,20090503,TOFFEN,2000 berline,Oldtimer Galerie Toffen ,6000.0,OR,V,161
ALFA ROMEO,20181117,TURIN,1750 berline,Aste Bolaffi,13230.0,OR,V,160
ALFA ROMEO,20170520,LE VIGEANT,1750 Berlina,HdV,14510.0,OR+,V,160
ALFA ROMEO,20161126,BROOKLANDS,1750 berline RHD ex-Afrique du Sud,Brooklands Auctions,11163.0,REST,V,160
ALFA ROMEO,20160205,PARIS,"1750 berline, 27 000 km origine",Artcurial,27416.0,OR+/EX,V,160
ALFA ROMEO,20140308,BROOKLANDS,1750 berline RHD,Brooklands Auctions,5141.0,OR,V,160
ALFA ROMEO,20180519,BROOKLANDS,Spider 2.0 Europa LHD,Brooklands Auctions,11070.0,OR+,V,9008
ALFA ROMEO,20180406,FORT LAUDERDALE,Spider 2.0 S 4,RM Sotheby's,16840.0,OR+,V,9008
ALFA ROMEO,20180325,AVIGNON,Spider 2.0 Europa,Leclère,15600.0,OR+,V,9008
ALFA ROMEO,20170911,LA MÉZIÈRE,Spider 2.0 Europa (S 4),Alcopa auction,9300.0,OR,V,9008
ALFA ROMEO,20170911,LA MÉZIÈRE,Spider 2.0 Europa (S 4),Alcopa auction,11580.0,OR+,V,9008
ALFA ROMEO,20170501,OBENHEIM,Spider 2.0 S 4 ,J.P. Osenat,12000.0,OR,V,9008
ALFA ROMEO,20160410,PARIS,Spider 1.6 S 4,Leclère,34720.0,OR+,V,9008
ALFA ROMEO,20141102,PARIS,Spider 2.0 Europa + hard-top,Artcurial,13110.0,OR+,V,9008
ALFA ROMEO,20140705,LE MANS,Spider 2.0 Europa,Artcurial,16688.0,OR+,V,9008
ALFA ROMEO,20131201,MONTASTRUC-LA-CONSEILLÈRE,Spider 2.0 Europa,FEE Machoïr,6000.0,OR,V,9008
ALFA ROMEO,20130309,BROOKLANDS,Spider 2.0 Europa RHD,Brooklands Auctions,3636.0,OR,V,9008
ALFA ROMEO,20121014,FONTAINEBLEAU,"Spider 2.0 Europa, hard-top",J.P. Osenat,8935.0,OR+,V,9008
ALFA ROMEO,20121008,BRUXELLES,Spider 2.0 Europa,Pierre Bergé & Associés,8400.0,OR,V,9008
ALFA ROMEO,20120617,FONTAINEBLEAU,Spider 2.0 Europa + hard-top,J.P. Osenat,7744.0,OR+,V,9008
ALFA ROMEO,20120601,ESVRES SUR INDRE,Spider 2.0 Europa,Five Auction Tours,5242.0,OR,V,9008
ALFA ROMEO,20090427,PARIS,Spider 2.0 Europa (restylé) + hard-top,Artcurial,7500.0,OR+,V,9008
ALFA ROMEO,20181117,TURIN,Spider 2.0 Quadrifoglio Verde,Aste Bolaffi,20700.0,OR+,V,10940
