auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,auction_url,model,quote_id,year
MG,13/09/2006,Buxton,"MGB GT V8 coupé RHD, toit Webasto",H & H Classic Auctions,6 450 €,OR,V,,,4419,
MG,28/05/2006,Gaydon,"MGB GT V8 coupé ""chrome"" RHD, toit Webasto",Bonhams,10 500 €,REST+,V,,,4419,
,,,,,,,,,,4418,
MG,15/05/2019,Leominster,MGB GT coupé Jubilee (pare-chocs USA),Brightwells,3 280 €,OR,V,,,4418,
MG,20/03/2019,Duxford,MGB GT coupé (pare-chocs USA) RHD,H and H,16 240 €,OR+,V,,,4418,
MG,08/03/2014,Brooklands,MGB GT coupé overdrive pare-chocs chromés,Historics at Brooklands,2 827 €,OR+,V,,,4418,
MG,07/09/2013,Beaulieu,MGB GT coupé ,Bonhams,2 186 €,OR,V,,,4418,
MG,07/09/2013,Beaulieu,MGB GT coupé RHD,Bonhams,2 186 €,OR,V,,,4418,
MG,29/04/2013,Londres,"MGB GT coupé RHD, toit Webasto",Bonhams,6 124 €,OR+,V,,,4418,
MG,14/11/2012,Harrogate,MGB GT coupé RHD,Bonhams,3 004 €,REST,V,,,4418,
MG,08/09/2012,Beaulieu,B GT coupé RHD,Bonhams,4 600 €,REST,V,,,4418,
MG,03/03/2012,Kidlington,MGB GT coupé RHD,Bonhams,5 543 €,OR+,V,,,4418,
MG,24/07/2011,Uzerche,"MGB GT coupé RHD, moonroof",Me Arnaud-Lacroze,3 500 €,REST-,V,,,4418,
MG,05/03/2011,OxfOrd,"MGB GT coupé RHD, toit Webasto",Bonhams,470 €,OR-,V,,,4418,
MG,17/11/2010,Harrogate,MGB GT coupé RHD,Bonhams,3 070 €,REST,V,,,4418,
MG,02/06/2010,Brooklands,MGB GT coupé RHD préparé,Historics at Brooklands,3 820 €,REST/TR,V,,,4418,
MG,14/06/2010,Sainte-Geneviève,"MGB GT coupé LHD ex-USA, roues fil",Australe,4 100 €,REST-,V,,,4418,
MG,05/04/2010,Saint-JameS,MGB GT coupé LHD,Toutain-Vente,3 000 €,REST,V,,,4418,
MG,30/01/2010,Kings Lynn,MGB GT coupé RHD,Anglia Car Auctions,1 520 €,OR+,V,,,4418,
,,,,,,,,,,4417,
MG,13/07/2019,Brooklands,MGB GT coupé (pare-chocs chromés) RHD,Historics at Brooklands,4 040 €,REST,V,,,4417,
MG,15/05/2019,Leominster,MGB GT coupé (pare-chocs chromés) RHD,Brightwells,22 060 €,REST+,V,,,4417,
MG,01/05/2019,ONLINE,MGB GT coupé (pare-chocs chromés) RHD,H and H,6 570 €,REST,V,,,4417,
MG,07/04/2019,Le Mans,MGB GT coupé (pare-chocs chromés),Marie Line Balsan / Dominique Pagneux,6 140 €,OR-,V,,,4417,
MG,02/03/2019,Ascott,MGB GT coupé (pare-chocs chromés) RHD,Historics at Brooklands,10 080 €,REST,V,,,4417,
MG,09/12/2018,Neuilly sur Seine,"MGB GT coupé LHD, look 1967",Claude Aguttes,14 400 €,REST,V,,,4417,
MG,22/09/2018,Brooklands,MGB GT coupé RHD,Historics at Brooklands,15 320 €,OR+,V,,,4417,
MG,17/06/2018,Fontainebleau,"MGB GT coupé RHD, toit souple",Osenat,5 400 €,REC,V,,,4417,
MG,19/05/2018,Brooklands,MGB GT coupé RHD,Historics at Brooklands,6 720 €,OR+,V,,,4417,
MG,21/04/2018,Toffen,MGB GT coupé (pare-chocs chromés),Oldtimer Galerie Toffen,8 650 €,OR,V,,,4417,
MG,11/09/2017,La Mézière,MGB GT coupé (pare-chocs chromés),Alcopa Auction,6 550 €,REST,V,,,4417,
MG,26/03/2017,Avignon,MGB GT coupé,Leclère MDV,11 760 €,REST,V,,,4417,
MG,19/03/2017,Goodwood,MGB GT coupé RHD,Bonhams,21 840 €,REST,V,,,4417,
MG,26/11/2016,Toffen,"MGB GT coupé, jantes Minilite",Oldtimer Galerie Toffen,16 690 €,OR+,V,,,4417,
MG,20/11/2016,Auvers sur Oise,MGB GT coupé,William Le Calvez,12 180 €,OR+,V,,,4417,
MG,20/03/2016,Goodwood,MGB GT coupé RHD,Bonhams,16 060 €,REST,V,,,4417,
,,,,,,,,,,4416,
MG,29/05/2019,Auburn,MGB cabriolet (pare-chocs USA),RM Sotheby's,2 360 €,REST,V,,,4416,
MG,15/06/2019,Fontainebleau,"MGB cabriolet USA, look 1968 (chromes)",Jean-Pierre Osenat,18 000 €,REST/TR,V,,,4416,
MG,29/03/2019,Fort Lauderdale,MGB cabriolet (pare-chocs USA),RM Sotheby,6 360 €,OR+,V,,,4416,
MG,23/03/2019,Fontainebleau,"MGB cabriolet, look 1968 (chromes)",Jean-Pierre Osenat,22 200 €,REST/TR,V,,,4416,
MG,23/02/2019,Vannes,MGB cabriolet (pare-chocs USA),Jack-Philipe Ruellan,10 620 €,OR,V,,,4416,
MG,22/09/2018,Brooklands,MGB cabriolet RHD,Historics at Brooklands,7 160 €,REST,V,,,4416,
MG,17/06/2018,Fontainebleau,"MGB cabriolet USA, pare-chocs chromés",Osenat,12 500 €,REST,V,,,4416,
MG,17/06/2018,Fontainebleau,"MGB cabriolet, démonté",Osenat,4 320 €,REC,V,,,4416,
MG,21/03/2018,Duxford,MGB cabriolet (pare-chocs USA),H and H Classics,14 820 €,REST,V,,,4416,
MG,02/07/2017,Monaco,"MGB cabriolet USA, pare-chocs chromés",Artcurial Motorcars,34 780 €,REST+,V,,,4416,
MG,06/11/2016,Lyon-Chassieu,"MGB cabriolet USA, look 1968",Jean-Pierre Osenat,16 200 €,REST/TR,V,,,4416,
MG,14/06/2015,Fontainebleau,"MGB cabriolet USA, hard-top, conversion chrome",Jean-Pierre Osenat,8 400 €,REST/TR,V,,,4416,
MG,14/06/2014,Toulouse,MGB 1800 cabriolet modifiée avec pare-chocs chromés,Marc Labarbe,15 340 €,OR/TR,V,,,4416,
MG,29/03/2014,Lyon (Brotteaux),"MGB cabriolet USA, conversion chromes, roues fil",Claude Aguttes SAS,15 600 €,REST/TR,V,,,4416,
MG,06/02/2014,Paris,"MGB cabriolet LHD overdrive, roues fil",Bonhams,15 525 €,REST,V,,,4416,
MG,06/02/2014,Paris,"MGB cabriolet LHD, pare-chocs chromés",Bonhams,10 350 €,REST/TR,V,,,4416,
,,,,,,,,,,7824,
MG,15/06/2019,Fontainebleau,"MGB cabriolet LHD, roues fil",Jean-Pierre Osenat,16 200 €,REST,V,,,7824,
MG,18/05/2019,Brooklands,MGB cabriolet (pare-chocs chromés) RHD,Historics at Brooklands,7 010 €,REST,V,,,7824,
MG,15/05/2019,Leominster,MGB cabriolet (pare-chocs chromés) RHD,Brightwells,10 590 €,REST,V,,,7824,
MG,15/05/2019,Leominster,MGB cabriolet (pare-chocs chromés) RHD,Brightwells,10 720 €,REST,V,,,7824,
MG,10/04/2019,Buxton,MGB cabriolet (pare-chocs chromés) RHD + hard-top,H and H,12 010 €,REST,V,,,7824,
MG,07/04/2019,Le Mans,MGB cabriolet (pare-chocs chromés) RHD,Marie Line Balsan / Dominique Pagneux,11 800 €,OR,V,,,7824,
MG,03/12/2018,Londres,"MGB cabriolet conv. RHD, moteur 1950 à compr.",Bonhams,21 280 €,REST/TR,V,,,7824,
