auction_url,quote_id,quote_max_price,quote_model,quote_year
,,3 500 €,128-3 P/Berlinetta 1300,1975
,,6 000 €,130 berline (2800),1969
cote.encheres.php?idCote=2437,2437,6 500 €,130 berline 3200,1971
cote.encheres.php?idCote=2438,2438,14 000 €,130 coupé 3200,1971
,,1 400 €,131 coach 1300,1975
,,"(None,)","(None,)","(None,)"
,,2 000 €,131 S berline 1600,1975
cote.encheres.php?idCote=11772,11772,2 200 €,131 S/LS Panorama 1600 break,1975
cote.encheres.php?idCote=11773,11773,3 500 €,131 Supermirafiori 1600 TC berline,1978
cote.encheres.php?idCote=8359,8359,5 000 €,131 Racing 2000 TC coach,1978
,,9 500 €,131 Racing Volumetrica Abarth 2 portes,1981
,,8 500 €,131 2000 TC Volumetrica Abarth 4 portes,1981
,,2 500 €,132 S / GLS 1800 berline,1972
cote.encheres.php?idCote=9142,9142,2 400 €,132-2000 / 2000 ie berline,1977
,,3 000 €,Argenta 2000 ie / 120 ie berline,1981
,,4 000 €,Argenta Volumex (135 ch) berline,1984
,,4 500 €,Ritmo Super 85 berline,1979
,,4 800 €,Ritmo 105 TC,1982
,,7 500 €,Ritmo 125 TC Abarth,1982
cote.encheres.php?idCote=8544,8544,8 500 €,Ritmo 130 TC Abarth,1984
,,4 000 €,Ritmo 85 Cabrio (Bertone),1982
cote.encheres.php?idCote=9148,9148,4 600 €,Bertone Ritmo 100 Supercabrio,1985
,,"(None,)","(None,)","(None,)"
,,2 400 €,Regata 100 S / 100 S ie berline,1984
,,2 400 €,Regata Weekend break,1985
cote.encheres.php?idCote=12259,12259,1 400 €,127 (900) 2 ou 3 portes,1973
,,1 500 €,127 - 1050 CL 3 portes,1982
cote.encheres.php?idCote=9145,9145,2 000 €,127 Sport 70 HP coach,1978
cote.encheres.php?idCote=11565,11565,1 800 €,127 Sport 1300 3 portes,1982
cote.encheres.php?idCote=12163,12163,1 300 €,Panda 45 / 1000,1980
cote.encheres.php?idCote=12164,12164,4 000 €,Panda 4 x 4 (Steyr-Puch),1983
,,3 000 €,Uno turbo ie coach,1985
cote.encheres.php?idCote=12025,12025,3 500 €,Tipo 2.0 16 V 5 portes,1989
cote.encheres.php?idCote=12026,12026,3 000 €,Punto GT 1.4 turbo 3 portes,1993
,,3 000 €,Cinquecento Sporting,1995
,,2 500 €,Seicento Sporting,1998
cote.encheres.php?idCote=11936,11936,6 000 €,Barchetta 1.8 16 V,1995
,,4 000 €,Coupé 2.0 16 V,1994
,,5 000 €,Coupé 2.0 16 V Turbo,1994
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=12035,12035,3 500 €,Coupé 1.8 16 V,1997
,,4 500 €,Coupé 2.0 20 V (147/154 ch),1997
,,8 000 €,Coupé 2.0 20 V Turbo (220 ch),1997
,,8 800 €,Coupé 2.0 20 V Turbo 6 vit.,1999
cote.encheres.php?idCote=2439,2439,52 000 €,Dino 2000 coupé,1967
cote.encheres.php?idCote=2440,2440,60 000 €,Dino 2400 coupé,1970
cote.encheres.php?idCote=2441,2441,130 000 €,Dino 2000 Spider,1967
cote.encheres.php?idCote=2442,2442,160 000 €,Dino 2400 Spider,1970
cote.encheres.php?idCote=2443,2443,4 500 €,X 1/9 1300 découvrable,1973
cote.encheres.php?idCote=2444,2444,5 000 €,X 1/9 1500 découvrable,1977
cote.encheres.php?idCote=9147,9147,6 000 €,Bertone X 1/9 Lido - X 1/9 IN,1982
