auction_url,quote_id,quote_max_price,quote_model,quote_year
cote.encheres.php?idCote=12377,12377,70 000 €,SL 60 AMG V8 (R 129) cabriolet hard-top,1993
cote.encheres.php?idCote=11922,11922,24 000 €,600 SL / SL 600 V12 (R 129) cabriolet hard-top,1993
cote.encheres.php?idCote=12378,12378,120 000 €,SL 73 AMG V12 (R 129) cabriolet hard-top,1995
cote.encheres.php?idCote=8518,8518,5 000 €,200 (W 115) berline,1968
cote.encheres.php?idCote=9273,9273,4 000 €,200 D (W 115) berline diesel,1968
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=7794,7794,5 000 €,220 (W 115) berline,1968
cote.encheres.php?idCote=9274,9274,4 000 €,220 D (W 115) berline,1968
,,4 500 €,220 D (W 115) limousine longue,1969
cote.encheres.php?idCote=9276,9276,4 200 €,240 D (W 115) berline,1974
,,4 500 €,240 D 3.0 (W 115) berline 5 cylindres,1975
cote.encheres.php?idCote=9278,9278,6 000 €,230 (W 114) berline 6 cylindres,1968
cote.encheres.php?idCote=7795,7795,5 500 €,230.4 (W 115) berline,1973
cote.encheres.php?idCote=7796,7796,6 000 €,230.6 (W 114) berline,1973
cote.encheres.php?idCote=7797,7797,7 000 €,230 (W 114) limousine longue,1969
cote.encheres.php?idCote=7798,7798,6 500 €,250 (W 114) berline,1968
,,6 500 €,"250 (W 114) berline 2,8 litres",1973
,,7 000 €,280 (W 114) berline,1972
,,9 500 €,280 E (W 114) berline,1972
cote.encheres.php?idCote=4183,4183,16 000 €,250 C (W 114) coupé,1969
cote.encheres.php?idCote=4184,4184,18 000 €,250 CE (W 114) coupé,1969
cote.encheres.php?idCote=4185,4185,17 000 €,250 C 2.8 (W 114) coupé,1972
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=7793,7793,18 000 €,280 C (W 114) coupé,1972
cote.encheres.php?idCote=4186,4186,19 000 €,280 CE (W 114) coupé,1972
cote.encheres.php?idCote=11329,11329,2 400 €,200 (W 123) berline,1976
cote.encheres.php?idCote=11177,11177,3 000 €,230 / 230 E (W 123) berline 4 cylindres,1976
,,6 000 €,230 TE (W 123) break,1979
,,3 700 €,250 (W 123) berline 6 cylindres,1976
cote.encheres.php?idCote=11637,11637,5 000 €,250 (W 123) limousine longue,1977
cote.encheres.php?idCote=11179,11179,4 200 €,280 (W 123) berline,1976
cote.encheres.php?idCote=7801,7801,4 600 €,280 E (W 123) berline,1976
cote.encheres.php?idCote=11631,11631,8 000 €,280 TE (W 123) break,1979
cote.encheres.php?idCote=8551,8551,5 200 €,230 C (W 123) coupé 4 cylindres,1977
cote.encheres.php?idCote=8552,8552,6 500 €,230 CE (W 123) coupé 4 cylindres,1980
cote.encheres.php?idCote=7802,7802,7 500 €,280 CE (W 123) coupé,1977
cote.encheres.php?idCote=9280,9280,7 000 €,300 CD (W 123) coupé diesel USA,1977
cote.encheres.php?idCote=12056,12056,4 500 €,300 CE (W 124) coupé,1987
cote.encheres.php?idCote=12057,12057,6 000 €,300 CE-24 (W 124) coupé,1990
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=12058,12058,12 000 €,300 CE-24 (W 124) cabriolet,1991
,,7 000 €,E 320 (W 124) coupé,1994
cote.encheres.php?idCote=12205,12205,12 000 €,E 320 (W 124) cabriolet,1994
cote.encheres.php?idCote=12457,12457,18 000 €,400 E / E 420 (W 124) berline,1993
cote.encheres.php?idCote=11181,11181,45 000 €,500 E / E 500 (W 124) berline,1990
cote.encheres.php?idCote=4187,4187,9 000 €,250 S (W 108) berline,1966
cote.encheres.php?idCote=7803,7803,10 000 €,250 SE (W 108) berline,1966
cote.encheres.php?idCote=4188,4188,9 500 €,280 S (W 108) berline,1968
cote.encheres.php?idCote=4189,4189,12 000 €,280 SE (W 108) berline,1968
,,14 000 €,280 SE L (W 108) berline,1968
cote.encheres.php?idCote=4191,4191,19 000 €,300 SE (W 108) berline,1965
cote.encheres.php?idCote=4192,4192,22 000 €,300 SE L (W 109) berline 3 l,1966
cote.encheres.php?idCote=4193,4193,17 000 €,"300 SE L (W 109) berline 2,8 l",1968
cote.encheres.php?idCote=4194,4194,19 500 €,280 SE 3.5 berline,1971
cote.encheres.php?idCote=11700,11700,17 500 €,280 SE 4.5 berline USA,1971
cote.encheres.php?idCote=4195,4195,22 500 €,280 SE L 3.5 berline,1971
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=7804,7804,20 500 €,280 SE L 4.5 berline USA,1970
cote.encheres.php?idCote=4196,4196,26 500 €,300 SE L 3.5 berline,1970
,,24 500 €,300 SE L 4.5 berline USA,1970
cote.encheres.php?idCote=4197,4197,48 000 €,300 SE L 6.3 berline,1968
cote.encheres.php?idCote=4198,4198,6 000 €,280 S (W 116) berline,1973
cote.encheres.php?idCote=4199,4199,6 500 €,280 SE (W 116) berline,1973
cote.encheres.php?idCote=4200,4200,7 000 €,280 SE L (W 116) berline longue,1974
cote.encheres.php?idCote=9281,9281,5 500 €,300 SD (W 116) berline diesel USA,1978
cote.encheres.php?idCote=4201,4201,4 500 €,350 SE (W 116) berline,1973
cote.encheres.php?idCote=4202,4202,7 000 €,350 SE L (W 116) berline longue,1974
cote.encheres.php?idCote=4203,4203,6 000 €,450 SE (W 116) berline,1973
cote.encheres.php?idCote=4204,4204,8 000 €,450 SE L (W 116) berline,1973
cote.encheres.php?idCote=4205,4205,38 000 €,450 SE L 6.9 berline,1975
cote.encheres.php?idCote=11701,11701,3 500 €,280 SE (W 126) berline,1981
