auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
TRIUMPH,21/04/2018,Toffen,TR 6 Pi cabriolet,Oldtimer Galerie Toffen,26 210 €,OR+,V,,6747,
TRIUMPH,31/05/2017,Ascot,TR 6 Pi (CP) cabriolet,Historics at Brooklands,19 530 €,REST,V,,6747,
TRIUMPH,28/11/2015,Brooklands,"TR 6 cabriolet RHD, hard-top",Historics at Brooklands,42 146 €,REST,V,,6747,
TRIUMPH,08/03/2014,Brooklands,TR 6 Pi (CP) cabriolet injection 150 ch RHD,Historics at Brooklands,12 531 €,REST,V,,6747,
TRIUMPH,10/06/2013,Paris,"TR 6 (CC) cabriolet LHD USA, 3 Weber",Artcurial Motorcars,12 033 €,REST/TR,V,,6747,
TRIUMPH,11/05/2012,Monaco,TR 6 (CR) cabriolet LHD,Bonhams,18 400 €,REST,V,,6747,
TRIUMPH,11/09/2010,Beaulieu,TR 6 Pi (CP) cabriolet injection 150 ch,Bonhams,3 160 €,OR-,V,,6747,
TRIUMPH,27/04/2009,Paris,TR 6 Pi (CP) cabriolet injection 150 ch,Artcurial,8 000 €,REST,V,,6747,
TRIUMPH,16/04/2008,Harrogate,"TR 6 Pi (CP) cabriolet RHD, roues fil",H & H Classic Auctions,12 490 €,REST,V,,6747,
TRIUMPH,16/12/2007,Fontainebleau,TR 6 Pi (CP) cabriolet LHD,Jean-Pierre Osenat,9 000 €,REST,V,,6747,
TRIUMPH,16/12/2007,Fontainebleau,TR 6 Pi (CP) cabriolet LHD,Jean-Pierre Osenat,7 500 €,OR,V,,6747,
TRIUMPH,19/11/2007,Harrogate,TR 6 Pi (CP) cabriolet RHD + hard-top,Bonhams,9 000 €,OR,V,,6747,
,,,,,,,,,6746,
TRIUMPH,24/11/2018,Brooklands,TR 250 (CD) cabriolet USA,Historics at Brooklands,29 620 €,REST,V,,6746,
TRIUMPH,26/03/2011,Avignon,"TR 250 (CD) cabriolet ""USA"" carbu.",Besch Cannes Auction,22 800 €,REST,V,,6746,
TRIUMPH,05/04/2009,Chinon,TR 250 (CD) cabriolet,SVV Herbelin,25 000 €,REST+,V,,6746,
TRIUMPH,17/03/2007,Angoulême,"TR 250 cabriolet ""USA""",SVV Juge & Gérard-Tasset,17 000 €,OR,V,,6746,
,,,,,,,,,6745,
TRIUMPH,20/03/2019,Duxford,TR 5 Pi (CP) cabriolet injection RHD,H and H,33 780 €,REST,V,,6745,
TRIUMPH,05/03/2016,Montreuil sur Mer,"TR 5 Pi cabriolet LHD overdrive, Surrey-top",Henri Anton,43 400 €,OR-,V,,6745,
TRIUMPH,28/11/2015,Brooklands,"TR 5 Pi cabriolet RHD, Surrey Top",Historics at Brooklands,50 893 €,REST,V,,6745,
TRIUMPH,05/09/2015,Beaulieu,TR 5 Pi cabriolet RHD,Bonhams,25 190 €,OR-,V,,6745,
TRIUMPH,06/06/2015,Brooklands,TR 5 PI cabriolet injection,Historics at Brooklands,46 190 €,REST,V,,6745,
