auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
VOLKSWAGEN,24/08/2018,Monterey,Typ 24 Bus De Luxe,RM Sotheby's,86 660 €,REST,V,,8568,
VOLKSWAGEN,06/04/2018,Fort Lauderdale,Typ 24 Bus De Luxe,RM Sotheby's,138 770 €,REST,V,,8568,
VOLKSWAGEN,19/01/2018,Scottsdale,Typ 24 Bus De Luxe,Gooding & Co,179 960 €,REST,V,,8568,
VOLKSWAGEN,06/12/2017,New York,Typ 24 Bus De Luxe (23 fenêtres),RM Sotheby,175 500 €,REST,V,,8568,
VOLKSWAGEN,12/03/2016,Amelia Island,Typ 24 bus 23 fenêtres + Eriba Puck,RM Sotheby's,143 550 €,REST,V,,8568,
VOLKSWAGEN,19/09/2009,Kaufdorf,Type 24 Bus Beutler,Oldtimer Galerie Toffen,3 630 €,EP,V,,8568,
VOLKSWAGEN,27/05/2007,Brands Hatch,"Type 24 Bus De Luxe ""23 fenêtres"" RHD, moteur 2.4",Coys Auctions,62 250 €,REST/TR,V,,8568,
,,,,,,,,,11045,
VOLKSWAGEN,07/04/2019,goodwood,Typ 23 Camping-car ,Bonhams,44 830 €,REST,V,,11045,
VOLKSWAGEN,02/03/2019,Ascott,T 2 Camping-car Westfalia Bay-windiw,Historics at Brooklands,11 840 €,REST,V,,11045,
VOLKSWAGEN,07/02/2019,Paris,Typ 21 Camping,Bonhams,44 850 €,REST,V,,11045,
VOLKSWAGEN,21/07/2018,Silverstone,Typ 23 EZ Campers double ouverture G et D,Silverstone Auctions,75 580 €,REST,V,,11045,
VOLKSWAGEN,29/03/2017,Duxford,Typ 23 camping-car Riviera,H & H Classic Auctions,29 020 €,REST,V,,11045,
VOLKSWAGEN,19/01/2017,Scottsdale,Typ 2 Camper Westfalia,Bonhams,54 320 €,REST,V,,11045,
VOLKSWAGEN,04/02/2016,Paris,"Typ 2 camping-car Westfalia, moteur 1.8",Bonhams,92 000 €,REST+/TR,V,,11045,
VOLKSWAGEN,08/03/2014,Brooklands,Typ 2 camping car Westfalia,Historics at Brooklands,12 852 €,REST/TR,V,,11045,
VOLKSWAGEN,25/02/2012,Coventry,Type 2 Camping Devon Caravanette RHD,Silverstone Auctions,19 824 €,REST,V,,11045,
,,,,,,,,,8567,
VOLKSWAGEN,06/04/2018,Fort Lauderdale,Typ 23 Combi,RM Sotheby's,33 220 €,REST,V,,8567,
VOLKSWAGEN,12/11/2017,Lyon,Typ 23 Combi 11 fenêtres brésilien,Osenat,48 000 €,REST,V,,8567,
VOLKSWAGEN,10/06/2017,Lyon,"Typ 23 Combi de Luxe 1500, prod. Brésil",Claude Aguttes,33 720 €,REST,V,,8567,
VOLKSWAGEN,08/09/2014,Londres,Type 24 Bus de luxe 21 fenêtres,RM Auctions,66 388 €,REST,V,,8567,
VOLKSWAGEN,08/03/2014,Brooklands,Typ 2 camping car Westfalia,Historics at Brooklands,23 134 €,REST,V,,8567,
VOLKSWAGEN,17/01/2014,Phoenix (Arizona),Kombi 23 fenêtres option sièges séparés,RM Auctions,61 050 €,REST+,V,,8567,
VOLKSWAGEN,30/04/2012,Londres,Type 23 Kombi RHD ex-Indonésie,Bonhams,6 346 €,REC,V,,8567,
VOLKSWAGEN,22/10/2010,Sparkford,"Combi “split” Brasil LHD, ex-Jenson Button",H & H Classic Auctions,19 150 €,REST+/EX,V,,8567,
VOLKSWAGEN,15/10/2006,Fontainebleau,"Type 23 Camping 2 litres, toit relevable",Jean-Pierre Osenat,4 800 €,OR+,V,,8567,
VOLKSWAGEN,09/09/2006,Beaulieu,Type 23 Kombi LHD,Bonhams,14 700 €,REST,V,,8567,
,,,,,,,,,11041,
VOLKSWAGEN,28/11/2018,Buxton,Typ 22 Bus (15 fenêtres) ,H and H,17 770 €,REST,V,,11041,
VOLKSWAGEN,25/04/2015,Toffen,Typ 2 minibus 8 places,Oldtimer Galerie Toffen,96 495 €,REST+,V,,11041,
,,,,,,,,,12117,
VOLKSWAGEN,13/07/2019,Brooklands,Typ 2 fourgon (aménagé camping),Historics at Brooklands,28 710 €,REST,V,,12117,
VOLKSWAGEN,30/06/2019,Chantilly,Typ 2 fourgon,Bonhams,14 380 €,OR+,V,,12117,
VOLKSWAGEN,10/03/2018,Amelia Island,Typ 2 pick-up,RM Sotheby,52 400 €,REST,V,,12117,
,,,,,,,,,8566,
VOLKSWAGEN,01/05/2019,ONLINE,Typ 2 fourgon / Combi camping par Canterbury Pitt RHD,H and H,19 660 €,REST,V,,8566,
VOLKSWAGEN,31/05/2017,Ascot,Typ 2 Combi ,Historics at Brooklands,20 180 €,REST,V,,8566,
VOLKSWAGEN,10/11/2007,Vimoutiers,Typ 2 fourgon surélevé (sans CG),Demade Enchères,250 €,EP,V,,8566,
VOLKSWAGEN,27/02/2007,Londres,Type 21 fourgon tôlé LHD neuf (33 km d'origine),Coys Auctions,22 010 €,EX,V,,8566,
