auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
PORSCHE,06/12/2010,Weybridge,356 B S 75 cabriolet T 6 LHD,Bonhams,60 000 €,REST,V,,8019,
PORSCHE,02/07/2010,Goodwood,356 B S 75 cabriolet T 6 LHD,Bonhams,55 000 €,REST+,V,,8019,
,,,,,,,,,5691,
PORSCHE,30/06/2019,Chantilly,356 B S 75 cabriolet T 5 (moteur 100 ch),Bonhams,108 330 €,REST,V,,5691,
PORSCHE,07/04/2019,goodwood,356 B S 75 cabriolet T 5 RHD,Bonhams,160 580 €,REST,V,,5691,
PORSCHE,07/10/2016,Knokke le Zoute,356 B S 75 cabriolet T 5,Bonhams,140 300 €,REST,V,,5691,
PORSCHE,12/03/2016,Amelia Island,356 B S 75 cabriolet T 5 Reutter,RM Sotheby's,217 800 €,REST,V,,5691,
PORSCHE,27/02/2015,Berlin,356 B 1600 Super cabriolet T 5,Auctionata,117 610 €,REST,V,,5691,
PORSCHE,18/05/2014,Spa,356 B 1600 Super cabriolet T5,Bonhams,132 250 €,REST,V,,5691,
PORSCHE,08/02/2013,Paris,356 B S 75 cabriolet T 5,Artcurial Motorcars,113 179 €,REST,V,,5691,
PORSCHE,18/02/2012,Brooklands,"356 B cabriolet T 5 LHD, moteur 912",Historic at Brooklands,45 030 €,REST/TR,V,,5691,
PORSCHE,12/03/2010,AmeliA IslAnd,356 B S 75 cabriolet T 6,Gooding & Co,68 660 €,REST,V,,5691,
PORSCHE,31/10/2007,Londres,356 B S 75 cabriolet T 5 LHD,RM Auctions / Sotheby's,67 500 €,REST,V,,5691,
,,,,,,,,,5690,
PORSCHE,09/12/2012,Fontainebleau,356 B Hardtop-Coupé T 5 Karmann LHD,Jean-Pierre Osenat,50 037 €,REST,V,,5690,
PORSCHE,01/09/2012,Brooklands,356 B Roadster T 5 hard top,Historics,49 459 €,REST-,V,,5690,
PORSCHE,19/06/2011,Fontainebleau,356 B S 75 Hardtop-coupé T 5,Jean-Pierre Osenat,37 500 €,OR+,V,,5690,
PORSCHE,27/04/2009,Paris,356 B S 75 Hardtop-coupé T 5,Artcurial,20 000 €,REST,V,,5690,
,,,,,,,,,11924,
PORSCHE,09/11/2014,Lyon (Epoqu'auto),356 B Hardtop-Coupé T 5,Jean-Pierre Osenat,61 980 €,REST,V,,11924,
PORSCHE,07/07/2012,Le Mans,"993 GT2 R décor Klasen, palmarès",Artcurial,169 173 €,OR+/EX,V,,11924,
,,,,,,,,,8018,
PORSCHE,15/06/2019,Fontainebleau,356 B S 75 coupé T 6 Karmann,Jean-Pierre Osenat,60 000 €,REST,V,,8018,
PORSCHE,21/04/2018,Toffen,356 B S 75 coupé T 6,Oldtimer Galerie Toffen,78 620 €,REST,V,,8018,
PORSCHE,24/05/2015,Deauville,"356 B S 75 coupé T 6 ex-USA, moteur 912",Claude Aguttes,40 800 €,REC/TR,V,,8018,
PORSCHE,06/02/2014,Paris,356 B S 75 coupé T 6,Bonhams,73 600 €,REST+,V,,8018,
PORSCHE,01/12/2012,Toffen,356 B S 75 Coupé T 6,Oldtimer Galerie,41 807 €,REST,V,,8018,
PORSCHE,31/01/2011,Sainte-Geneviève,356 B S 75 coupé T 6 ex-USA,Australe,8 500 €,SEP,V,,8018,
PORSCHE,06/12/2010,Weybridge,356 B S 75 coupé T 6 LHD,Bonhams,27 600 €,REST,V,,8018,
PORSCHE,13/04/2008,Paris,356 B S 75 coupé T 6 (118067),"Artcurial Briest, Poulain, F. Ta",25 000 €,OR+,V,,8018,
PORSCHE,21/05/2007,Monaco (Coys),356 B S 75 coupé T 6 ex-Suisse,Coys Europe,24 000 €,OR+,V,,8018,
PORSCHE,04/06/2006,Greenwich,356 B S 75 coupé T 6,Christie's,20 800 €,OR+,V,,8018,
PORSCHE,18/06/2006,Fontainebleau,356 B S 75 coupé T 6 Karmann (211161),Jean-Pierre Osenat,33 000 €,REST,V,,8018,
PORSCHE,29/04/2006,Toffen,356 B S 75 coupé T 6 LHD,Oldtimer Galerie Toffen,20 150 €,REST-,V,,8018,
,,,,,,,,,5683&index=2,
